date,RY.to,TD.to,BNS.to,CNR.to,SU.to,BCE.to,BMO.to,ENB.to,TRP.to,CNQ.to,BAM-A.to,CM.to,ABX.to,CP.to,T.to,SLF.to,ATD-B.to,RCI-B.to,G.to,MG.to,FNV.to,WCN.to,POT.to,GIB-A.to,SLW.to,TRI.to,AEM.to,FFH.to,AGU.to,L.to,NA.to,PPL.to,QSR.to,IFC.to,FTS.to,MRU.to,DOL.to,CPG.to,SJR-B.to,VRX.to,IMO.to,CSU.to,POW.to,CTC-A.to,OTC.to,TCK-B.to,SAP.to,REI-UN.to,IPL.to,GWO.to,GIL.to,SNC.to,ARX.to,EMA.to,KEY.to,PWF.to,TOU.to,BPY-UN.to,HR-UN.to,THO.to,CCL-B.to,OCX.to,PEY.to,CIX.to,DGC.to,WN.to,ALA.to,VET.to,PSK.to,VII.to,IAG.to,CU.to,SRU-UN.to,H.to,BEP-UN.to,CAR-UN.to,RBA.to,PAA.to,FTT.to,FR.to,REF-UN.to,ACO-X.to,EMP-A.to,STN.to,QBR-B.to,MX.to,DH.to,CGX.to,IGM.to,ENF.to,MDA.to,CAD.to,AP-UN.to,WFT.to,WJA.to,TIH.to,MBT.to,WSP.to,NPI.to,BCB.to,FCR.to,MFI.to,LNR.to,PKI.to,AYA.to,TXG.to,TFI.to,FSV.to,CWB.to,BEI-UN.to,DSG.to,SJ.to,SCL.to,GRT-UN.to,CIG.to,CPX.to,HCG.to,NFI.to,PBH.to,MAG.to,CCA.to,LB.to,RUS.to,NWC.to,MST-UN.to,X.to,BYD-UN.to,EDV.to,MIC.to,OSB.to,WPK.to,CHE-U.to,UNS.to,KXS.to,ITP.to,NVU-UN.to,DII-B.to,ESL.to,AD.to,CXR.to,BAD.to,DOO.to,BNE.to,BBU-UN.to
2005-01-03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.43801,nan,nan,nan,nan,nan,4.87318,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.73906,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15.587,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.70658,nan,9.479,nan,nan,nan,nan,nan,nan,9.2858,25.6716,nan,11.4306,nan,nan,nan,nan,nan,nan,nan,6.968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.611,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2005-01-04,20.347256,16.610162,26.201234,14.948368,17.073322,16.794974,34.109496,10.311962,19.153011,10.812036,8.70506,42.85519,24.185997,34.884825,11.396702,25.842037,4.89652,10.978644,14.914257,19.864236,nan,nan,8.533089,7.81,3.329457,nan,14.615487,158.055362,16.827817,56.408476,15.368293,6.058862,nan,22.364926,11.695943,6.792254,nan,6.736149,6.62229,14.018023,20.840453,nan,20.074006,nan,11.407628,13.863772,7.317074,8.821436,4.177025,16.442212,4.920357,16.044295,7.92305,11.377071,3.445187,19.260617,nan,nan,9.170612,nan,15.504,17.977198,10.883411,10.81762,nan,86.511792,17.046215,10.12317,nan,nan,20.278405,10.787383,8.63693,nan,9.479,7.543299,10.563812,15.863364,13.330619,1.90,10.483751,9.3255,25.6716,6.104813,11.3512,15.885665,nan,nan,21.332006,6.243403,24.298617,nan,6.872,21.605071,10.726338,10.140981,24.843649,nan,6.122153,26.597154,6.452015,12.992683,12.994519,2.611695,nan,nan,8.130882,nan,10.31662,10.604748,2.15,1.352309,9.981234,24.611,11.554432,nan,13.085659,nan,nan,1.05,21.235059,15.429699,8.181299,4.986931,nan,17.337063,4.151692,27.78033,nan,83.631322,8.35662,nan,11.991659,nan,9.795525,nan,33.02968,7.59,nan,nan,3.103221,nan,10.869756,nan
2005-01-05,20.24842,16.433917,25.915402,14.724918,16.775285,16.875886,33.803266,10.012336,18.855132,10.562361,8.61311,42.582379,23.892415,34.136077,11.48343,25.352775,4.90201,11.294755,14.766763,19.625128,nan,nan,8.144536,7.75,3.263805,nan,14.524425,155.932606,15.568533,56.162396,15.074591,6.040598,nan,22.19757,11.460172,6.797882,nan,6.712445,6.44406,13.911015,20.331859,nan,19.764972,nan,11.540884,13.342901,7.195796,8.71253,4.072029,16.280649,4.881231,15.591478,7.77997,11.41881,3.46461,19.106581,nan,nan,8.974449,nan,15.504,17.958085,10.699724,10.738615,nan,83.912182,16.867095,9.891841,nan,nan,19.966994,10.572761,8.52084,nan,9.233,7.437055,10.563812,15.536283,13.547754,1.84,10.483751,9.2064,25.5466,6.043742,11.5233,15.513287,nan,nan,21.272915,5.939935,24.388612,nan,6.797,20.98013,10.681345,9.962052,25.043299,nan,6.065828,26.322863,6.555524,12.949661,12.450958,2.574727,nan,nan,8.120232,nan,10.044105,10.535587,2.20,1.33014,9.947285,24.611,11.657286,nan,12.960238,nan,nan,1.10,21.235059,15.391141,7.941745,5.005921,nan,17.390163,4.124379,28.043234,nan,82.630605,8.275487,nan,11.970984,nan,9.573102,nan,33.176138,7.44152,nan,nan,3.057582,nan,10.805439,nan
2005-01-06,20.206974,16.36076,25.693089,14.689746,17.107384,17.3209,33.926936,10.098933,18.855132,10.855458,8.50884,42.487485,23.374328,33.889333,11.836766,25.556105,4.9075,11.365791,14.54986,19.764946,nan,nan,8.458745,7.65,3.263805,nan,14.515319,156.879562,15.473657,56.313222,14.947836,5.999506,nan,22.174748,11.677418,6.795064,nan,6.866526,6.47786,14.232039,20.667941,nan,19.442789,nan,12.035834,13.217579,6.943135,8.762033,4.072029,16.249579,4.872931,15.890564,7.936464,11.758691,3.447615,18.792348,nan,nan,9.111763,nan,15.454,17.850882,10.745646,10.538064,nan,85.865829,16.971581,9.957217,nan,nan,19.600627,10.502394,8.46976,nan,9.238,7.386463,10.387793,15.450211,13.249192,1.80,10.54232,9.0477,25.4215,6.04844,11.7927,15.960141,nan,nan,21.213825,6.002414,24.865584,nan,6.867,20.779256,10.798327,10.179669,25.079136,nan,6.031166,27.292027,6.607278,13.164772,12.357533,2.587842,nan,nan,8.109582,nan,9.767698,10.575931,2.13,1.263633,10.388631,24.611,11.668722,nan,12.082286,nan,nan,1.05,21.110147,15.448979,7.639698,5.000742,nan,17.157851,4.189932,26.816341,nan,84.846476,8.843412,nan,11.970984,nan,9.875598,nan,33.37655,7.424051,nan,nan,3.030201,nan,10.719681,nan
2005-01-07,20.031622,16.211119,25.419961,14.234571,17.158476,17.164857,33.65604,10.220168,19.172025,10.736048,8.3985,42.048615,23.357058,33.234178,11.766099,25.352775,4.88691,11.337377,14.688678,19.351572,nan,nan,8.168433,7.63,3.216912,nan,14.314983,157.629236,16.215425,55.527341,14.916921,5.976677,nan,22.783319,11.62016,6.741629,nan,6.909986,6.37645,13.960952,20.373492,nan,19.363887,nan,12.116738,12.825947,7.044199,8.846188,4.076594,16.206081,4.871746,15.901741,7.99012,11.883911,3.496173,18.872446,nan,nan,9.13138,nan,15.379,18.09017,10.722685,10.544141,nan,85.471949,17.113385,10.027622,nan,nan,19.966994,10.579798,8.53477,nan,9.332,7.431996,10.334459,15.596536,13.156134,1.78,10.595031,9.1747,25.5132,6.04844,11.8103,15.684581,nan,nan,21.054277,5.868531,25.027575,nan,6.892,20.645341,10.861317,9.913692,25.155923,nan,6.039831,27.191453,6.641781,13.087332,12.230135,2.567571,nan,nan,8.200103,nan,9.814414,10.650856,2.11,1.352309,10.821491,24.611,11.657286,nan,12.960238,nan,nan,1.07,20.985235,15.371862,7.743852,4.997288,nan,17.124663,4.135304,28.043234,nan,84.703519,8.518884,nan,11.970984,nan,9.742143,nan,33.993206,7.424051,nan,nan,3.084963,nan,10.719681,nan
2005-01-10,19.942351,16.324181,25.28022,14.33802,17.094612,17.107063,33.567703,10.218437,19.178363,10.855458,8.43528,42.27398,23.572928,33.770211,11.672947,25.041424,4.94182,11.365791,14.680001,19.189464,nan,nan,8.229507,7.59,3.235669,nan,14.360514,159.404784,16.189551,55.535281,14.963295,6.004071,nan,22.813746,11.62016,6.750066,nan,6.953445,6.40411,14.153567,20.69471,nan,19.298135,nan,11.959687,13.060925,7.074519,8.791734,4.081159,16.280649,4.949997,15.921313,8.048245,11.836209,3.52288,18.780025,nan,nan,9.07253,nan,15.421,18.520889,10.676764,10.629223,nan,86.456649,17.247724,10.082939,nan,nan,19.824111,10.68535,8.47905,nan,9.366,7.426937,10.361126,15.579321,13.369393,1.79,10.583317,9.1032,25.8383,6.088371,11.9648,15.960141,nan,nan,21.24337,5.926547,24.928582,nan,6.867,20.381973,10.978299,10.406959,25.089372,nan,6.109155,27.191453,6.558974,13.078727,12.697259,2.540141,nan,nan,8.386469,nan,9.927313,10.650856,2.17,1.352309,11.135526,24.611,11.714436,nan,13.064756,nan,nan,1.05,20.402311,15.41042,7.81676,5.04217,nan,17.091476,4.135304,28.393776,nan,85.918673,8.518884,nan,11.888283,nan,9.564204,nan,33.923832,7.467722,nan,nan,3.057582,nan,10.719681,nan
2005-01-11,20.002928,16.177866,25.311979,14.143535,17.030746,17.176415,33.567703,10.249612,19.203714,10.714337,8.33515,42.309563,23.745624,33.642586,11.49949,24.882572,4.94182,11.198857,14.801466,18.763932,nan,nan,8.07196,7.55,3.179397,nan,14.597276,158.221085,15.723788,55.995695,14.978753,6.067993,nan,22.707247,11.610056,6.736001,nan,6.949494,6.45328,13.939551,20.673892,nan,19.166631,nan,11.721731,13.47214,6.963348,8.811535,4.062898,16.243364,4.931027,15.918513,8.048245,11.705026,3.542303,18.699927,nan,nan,9.146091,nan,15.529,18.33903,10.646914,10.398286,nan,86.102159,17.158164,10.057795,nan,nan,19.875402,10.766273,8.43726,nan,9.327,7.335871,10.315785,16.018297,13.105727,1.72,10.54232,9.127,25.6299,5.977973,12.1415,15.900561,nan,nan,20.930184,5.913159,24.991578,nan,6.918,20.533744,11.563209,10.411795,24.628642,nan,6.065828,26.97202,6.607278,12.958266,13.087944,2.563994,nan,nan,8.327897,nan,9.802735,10.622039,2.02,1.352309,11.568386,24.611,11.514431,nan,13.043853,nan,nan,1.06,20.402311,15.326877,7.759475,5.030084,nan,17.522911,4.244559,28.831952,nan,84.560561,8.518884,nan,11.888283,nan,9.279503,nan,33.916126,7.677342,nan,nan,3.099569,nan,10.719681,nan
2005-01-12,19.929598,16.127985,25.184945,13.967673,17.452257,17.153298,33.391031,10.247879,19.330472,11.267966,8.3127,42.208742,23.270712,33.514957,11.611916,24.717367,4.88691,11.337377,14.631735,18.482271,nan,nan,7.983452,7.59,3.141881,nan,14.287663,158.164144,15.59441,55.963942,14.997302,6.004071,nan,22.593141,11.584794,6.693813,nan,6.913937,6.47171,13.66133,20.923729,nan,18.943075,nan,11.464738,13.362482,6.93505,8.762033,4.085724,16.311719,4.861075,15.935284,8.057188,11.722915,3.508312,18.471954,nan,nan,9.111763,nan,15.355,18.27203,10.699724,10.635301,nan,85.668889,17.076067,10.082939,nan,nan,19.798466,10.695905,8.49298,nan,9.43,7.315634,10.094433,15.768682,13.121237,1.79,10.483751,9.1112,25.9395,5.846433,12.3622,15.937798,nan,nan,20.859275,5.917622,24.964579,nan,6.993,20.533744,12.094126,10.435975,24.725907,nan,6.0225,26.834874,6.555524,12.992683,12.824657,2.540141,nan,nan,8.386469,nan,9.775484,10.570168,2.23,1.319056,12.05217,24.611,11.314427,nan,13.035491,nan,nan,1.10,20.568861,15.33973,7.811552,5.007645,nan,17.522911,4.244559,29.357761,nan,82.916525,8.518884,nan,11.908958,nan,9.08377,nan,33.415091,7.729748,nan,nan,3.057582,nan,10.719681,nan
2005-01-13,19.862645,16.078104,25.026149,13.965603,17.767325,17.338239,33.161358,10.19419,19.317796,11.313558,8.32906,41.461478,22.994398,33.081025,11.338883,24.914342,4.87318,11.145579,14.84934,18.743669,nan,nan,8.019744,7.58,3.07623,nan,14.060008,157.167714,15.991171,55.963942,14.963295,6.04973,nan,22.783319,11.586479,6.679756,nan,6.953445,6.38874,13.083488,21.06054,nan,18.890474,nan,11.612271,13.315487,6.973454,8.910541,4.099419,16.162583,4.837363,16.156108,8.227095,11.77658,3.532591,18.545892,nan,nan,9.253981,nan,15.131,18.157171,10.676764,10.5016,nan,83.857039,17.046215,10.092997,nan,nan,19.857084,10.583316,8.45583,nan,9.43,7.330812,10.26778,15.493247,12.989404,1.78,10.600888,9.0921,26.5169,5.792409,12.3622,15.826085,nan,nan,20.551999,5.948861,24.93758,nan,7.024,19.779353,11.698187,10.51335,24.628642,nan,6.000837,26.825731,6.555524,12.906639,12.739725,2.540141,nan,nan,8.572835,nan,9.736553,10.622039,2.12,1.319056,11.636286,24.611,11.600146,nan,12.876623,nan,nan,1.09,20.810357,15.275467,7.785513,5.031813,nan,17.722036,4.370203,29.18249,nan,82.702083,8.608129,nan,11.987524,nan,8.870244,nan,33.37655,7.808355,nan,nan,3.108698,nan,10.76256,nan
2005-01-14,20.009303,16.134636,25.286573,14.27595,17.775841,17.280445,33.155467,10.17687,19.013579,11.387376,8.41892,41.455546,23.192999,33.948892,11.48343,25.174859,5.16282,11.01061,14.927678,19.169201,nan,nan,8.230391,7.51,2.954307,nan,14.060008,157.491941,16.344805,56.059202,15.009668,6.118217,nan,23.429923,11.510694,6.637568,nan,7.052215,6.37645,13.375976,21.012954,nan,18.831297,nan,11.850227,13.973428,6.953242,8.910541,4.131374,16.187438,4.87886,15.862615,8.253922,11.675212,3.554442,18.484277,nan,nan,9.426136,nan,15.139,17.946598,10.892595,10.373976,nan,84.967783,17.158164,10.183517,nan,nan,19.89372,10.555169,8.46512,nan,9.577,7.285279,10.350461,15.303886,13.260825,1.70,10.595031,9.1747,26.7763,5.806502,12.4726,16.049511,nan,nan,20.510635,5.939935,24.352613,nan,7.044,20.140924,11.725183,10.518186,24.577449,nan,5.987838,26.853161,6.555524,13.087332,12.102739,2.563994,nan,nan,8.839072,nan,9.736553,10.777652,2.25,1.352309,11.500487,24.611,11.400141,nan,12.834817,nan,nan,1.04,20.652135,15.301171,7.806344,5.035262,nan,17.937753,4.370203,30.058841,nan,82.916525,8.518884,nan,11.892418,nan,8.923625,nan,33.345717,7.642406,nan,nan,3.103221,nan,10.76256,nan
2005-01-17,20.101762,16.111358,25.362795,14.383536,17.801388,17.390254,33.126022,10.171674,18.975552,11.413428,8.34746,41.402167,23.063476,33.73618,11.354944,25.384545,5.27127,10.946678,15.05824,19.21378,nan,nan,8.191446,7.48,3.0012,nan,14.069114,155.791681,16.560436,56.043322,15.065317,6.113652,nan,23.315816,11.586479,6.494129,nan,7.064067,6.39182,13.447315,21.001062,nan,19.081154,nan,11.707454,13.942097,6.902709,8.89074,4.177025,16.218509,4.896644,16.184056,8.222624,11.705026,3.554442,18.761542,nan,nan,9.351286,nan,15.089,17.898741,10.791568,10.422594,nan,84.298189,17.150701,10.183517,nan,nan,19.966994,10.625537,8.40011,nan,9.602,7.234687,10.134438,15.269456,13.474084,1.72,10.565747,9.2064,26.6005,5.884016,12.3666,16.109092,nan,nan,20.62291,5.966712,24.829587,nan,7.125,20.221274,11.437228,10.634248,24.64912,nan,6.065828,26.880589,6.607278,13.422905,12.315067,2.55803,nan,nan,8.87102,nan,9.791056,10.720018,2.26,1.33014,11.75511,24.611,11.400141,nan,12.826455,nan,nan,1.04,21.026872,15.326877,7.806344,5.073242,nan,18.087096,4.473995,29.795936,nan,83.917242,8.518884,nan,11.991659,nan,8.896934,nan,33.153011,7.86076,nan,nan,3.137903,nan,10.668226,nan
2005-01-18,20.242045,16.294253,25.28022,14.186984,17.860995,17.078165,33.096577,10.214973,19.013579,11.667447,8.37808,41.366585,23.642006,34.68062,11.49949,25.416315,5.22735,11.063887,15.241029,19.313071,nan,nan,8.345456,7.88,2.888655,nan,14.251239,159.453185,17.198702,56.043322,14.950929,6.118217,nan,23.665744,11.613423,6.640378,nan,7.032461,6.42255,13.554323,21.673235,nan,19.390187,nan,11.94541,14.196659,6.831964,9.009548,4.20898,16.554064,4.949997,16.262319,8.262865,11.871985,3.55687,19.007999,nan,nan,9.326336,nan,15.296,18.233743,11.239303,10.544141,nan,84.52664,17.382064,10.183517,nan,nan,19.974322,10.854233,8.49298,nan,9.617,7.335871,10.582487,15.932223,13.338374,1.75,10.589174,9.3239,26.2742,5.869923,12.4682,16.17612,nan,nan,20.605181,5.993489,24.748591,nan,7.15,20.538207,11.482221,10.798671,24.603047,nan,6.065828,27.209739,6.728037,13.319651,12.060273,2.546105,nan,nan,8.993489,nan,9.759911,10.720018,2.22,1.33014,11.262838,24.611,11.714436,nan,12.834817,nan,nan,1.03,20.818685,15.294745,7.790721,5.137109,nan,18.385783,4.490383,29.795936,nan,83.988721,8.518884,nan,11.991659,nan,9.030388,nan,33.584672,7.686077,nan,nan,3.130603,nan,10.826878,nan
2005-01-19,20.23248,16.327506,25.28022,14.21388,17.631079,17.089724,32.784455,10.232293,18.975552,11.450337,8.56199,41.099705,23.572928,34.4594,11.660098,25.397253,5.23695,11.362239,15.449929,19.452889,nan,nan,8.456976,7.70,3.010579,nan,14.333195,159.484813,16.836443,55.273321,14.901463,6.177573,nan,24.319955,11.645421,6.693813,nan,7.004805,6.37645,13.411645,21.206283,nan,19.482239,nan,11.793118,14.588291,7.052285,9.024398,4.259196,16.746698,5.053147,16.212006,8.303106,11.806394,3.56901,19.10042,nan,nan,9.346296,nan,15.131,18.664462,11.292113,10.623146,nan,83.14806,17.471623,10.198605,nan,nan,20.256424,10.681832,8.49762,nan,9.651,7.356108,10.681161,15.794505,13.652445,1.74,10.630172,9.2937,26.1822,5.860527,12.53,15.833533,nan,nan,20.853367,6.029191,24.748591,nan,7.322,20.712299,11.626199,10.924405,24.582569,nan,6.065828,26.97202,6.607278,13.594993,12.272601,2.547297,nan,nan,9.052062,nan,10.090822,10.806469,2.27,1.33014,11.347712,24.611,11.885865,nan,13.169274,nan,nan,1.04,21.0352,15.262614,7.941745,5.195797,nan,18.584906,4.64334,29.445395,nan,85.775715,8.681148,nan,11.900688,nan,9.012595,nan,33.576965,7.773418,nan,nan,3.150679,nan,10.912635,nan
2005-01-20,20.229292,16.423942,25.286573,14.273881,17.648111,17.193754,32.57245,10.209777,18.969214,11.304874,8.43731,40.803171,23.693816,34.357299,11.743614,24.844447,5.29872,11.326721,15.415112,19.49139,nan,nan,8.513107,7.69,3.0012,nan,14.442469,158.369753,17.164201,55.963942,14.957112,6.195836,nan,24.49492,11.788568,6.688194,nan,6.890232,6.3826,13.946684,21.114076,nan,19.390187,nan,11.864505,14.137913,7.01388,9.054101,4.19985,16.715628,5.127842,16.212006,8.249452,11.806394,3.55687,18.84164,nan,nan,9.321346,nan,15.147,18.769749,11.296705,10.483368,nan,84.101249,17.449233,10.153344,nan,nan,20.333361,10.563965,8.53013,nan,9.69,7.487648,10.769171,15.846149,13.571019,1.75,10.6536,9.2286,26.3244,5.930994,12.5123,15.714372,nan,nan,20.75291,6.047042,24.703595,nan,7.438,20.712299,11.653194,10.890554,24.418754,nan,6.109155,26.97202,6.641781,13.767081,12.272601,2.569954,nan,nan,9.131933,nan,10.047998,10.800706,2.16,1.33014,11.500487,24.611,12.743022,nan,13.273792,nan,nan,1.03,21.026872,15.294745,7.910498,5.213062,nan,18.717656,4.523159,29.357761,nan,85.060918,8.600016,nan,11.950309,nan,9.048182,nan,33.145305,7.773418,nan,nan,3.148855,nan,10.929786,nan
2005-01-21,20.203785,16.294253,25.362795,14.104224,17.290465,17.211092,32.466447,10.381239,19.089634,11.404744,8.49045,40.299058,23.831972,34.280723,11.852828,25.035071,5.31245,11.866596,15.667534,19.309019,nan,nan,8.536164,7.71,3.0012,nan,14.724763,160.330997,17.043448,56.575177,14.916921,6.204968,nan,24.456885,12.285371,6.736001,nan,6.92974,6.51474,13.704133,21.331201,nan,19.265259,nan,11.731249,14.087002,7.155371,9.083802,4.231806,16.467068,5.181195,16.144922,8.338876,11.746767,3.566582,18.84164,nan,nan,9.416157,nan,15.338,18.329458,11.239303,10.574527,nan,83.990963,17.5985,10.148315,nan,nan,20.190478,10.563965,8.58121,nan,9.72,7.53824,10.641157,16.121584,13.357761,1.70,10.718024,9.2064,25.906,5.867574,12.711,15.453706,nan,nan,20.54018,6.069356,24.658596,nan,7.448,20.819431,11.464223,10.813179,24.162792,nan,6.031166,26.542296,6.641781,13.681037,12.272601,2.592615,nan,nan,9.211804,nan,10.157004,10.921739,2.16,1.352309,11.373175,24.611,12.474442,nan,13.420117,nan,nan,1.05,21.160111,15.256187,7.863629,5.245858,nan,19.145772,4.479458,29.795936,nan,84.63204,8.681148,nan,11.987524,nan,8.896934,nan,33.291759,7.773418,nan,nan,3.103221,nan,10.891196,nan
2005-01-24,20.277757,16.227745,25.400906,14.100087,17.477802,17.049268,32.419333,10.261735,19.076958,11.402573,8.48025,40.322781,24.134189,34.29774,11.660098,25.352775,5.30559,12.044187,15.571787,19.04762,nan,nan,8.553898,7.75,3.057473,nan,14.615487,160.536606,16.689814,56.79745,15.040585,6.186705,nan,23.88635,12.191063,6.775379,nan,6.953445,6.51474,13.632795,21.503704,nan,19.528266,nan,11.574198,14.098751,7.26452,9.123404,4.268326,16.64106,5.202536,15.974418,8.370175,11.764654,3.578721,19.007999,nan,nan,9.456077,nan,15.33,18.520889,11.11761,10.574527,nan,83.896429,17.643279,10.153344,nan,nan,20.369997,10.581557,8.66015,nan,9.798,7.447174,10.601152,16.181835,13.454697,1.75,10.747309,9.3175,26.7093,5.895761,12.5476,15.639896,nan,nan,20.62291,5.984563,23.776647,nan,7.569,20.98013,11.29325,10.523022,23.753254,nan,6.048497,26.423436,6.693535,13.655224,12.145204,2.593806,nan,nan,9.18518,nan,10.047998,11.037007,2.10,1.285802,11.670235,24.611,12.314439,nan,13.428478,nan,nan,1.05,21.393281,15.166218,7.811552,5.226868,nan,19.331621,4.566861,28.744314,nan,83.988721,8.518884,nan,11.908958,nan,9.030388,nan,32.790728,7.642406,nan,nan,3.130603,nan,10.904059,nan
2005-01-25,20.161975,16.327506,25.470774,14.733194,17.388391,17.020372,32.855126,10.268663,19.013579,11.591458,8.59059,40.571874,23.676546,35.31025,11.640826,25.664123,5.27813,11.720972,15.214916,19.250255,nan,nan,8.599118,7.70,3.029337,nan,14.342301,161.36697,16.922695,57.813532,15.241538,6.200402,nan,23.848315,12.33421,6.896315,nan,7.012707,6.56083,14.060826,22.15506,nan,19.528266,nan,11.302928,14.412056,7.250371,9.103603,4.313976,16.777768,5.181195,15.848636,8.473014,11.848135,3.583577,18.983352,nan,nan,9.466056,nan,15.255,18.33903,11.071689,10.452982,nan,85.30652,17.523866,10.208662,nan,nan,20.443271,10.555169,8.78088,nan,9.877,7.411759,10.601152,15.958045,13.43531,1.70,10.78245,9.3096,26.9855,5.900459,12.7066,15.975037,nan,nan,20.362907,5.984563,23.857642,nan,7.549,20.837287,11.068285,10.494006,23.855637,nan,6.065828,26.844017,6.641781,13.724059,11.992328,2.603348,nan,nan,9.131933,nan,10.121966,10.97361,2.24,1.33014,11.670235,24.611,12.343014,nan,13.461925,nan,nan,1.07,21.434918,15.166218,7.874044,5.157823,nan,19.928993,4.64334,28.306139,nan,82.702083,8.518884,nan,11.908958,nan,9.021492,nan,32.914059,7.424051,nan,nan,3.130603,nan,10.934074,nan
2005-01-26,20.213434,16.377387,25.407257,14.826299,17.073322,17.147518,32.890459,10.564824,19.235404,11.723895,8.61311,40.832821,23.659276,34.714654,11.727553,25.638706,5.31657,11.77425,15.362887,19.108411,nan,nan,8.680708,7.75,3.141881,nan,14.396939,165.28153,16.879568,58.940747,15.340468,6.26889,nan,23.848315,12.344315,6.949758,nan,7.040363,6.5639,14.060826,22.18778,nan,19.725521,nan,11.655103,14.204491,7.175583,9.163007,4.323107,16.970401,5.181195,15.960441,8.611623,11.806394,3.629707,19.235971,nan,nan,9.545896,nan,15.247,18.578318,11.193381,10.452982,nan,85.747664,17.494014,10.21872,nan,nan,20.611799,10.565725,8.86911,nan,9.744,7.518003,10.641157,16.19905,13.726117,1.73,10.78245,9.2937,26.1487,5.794758,12.5167,15.952694,nan,nan,20.563818,6.047042,23.767647,nan,7.549,20.556063,11.311247,10.450483,23.783968,nan,6.061495,27.429172,6.693535,13.638015,11.89041,2.623619,nan,nan,9.48869,nan,9.989602,11.065825,2.09,1.33014,11.39015,24.611,12.228724,nan,13.461925,nan,nan,1.06,21.243312,15.166218,7.848006,5.304546,nan,19.945586,4.594175,28.043234,nan,82.05877,8.518884,nan,11.908958,nan,8.727893,nan,33.160721,7.467722,nan,nan,3.185365,nan,11.028407,nan
2005-01-27,20.325999,16.294253,25.165887,14.995955,17.073322,17.147518,32.861014,10.708576,18.98189,12.008308,8.61716,40.862477,23.685181,34.68913,11.862464,25.530688,5.33991,11.720972,15.293254,18.936171,nan,nan,8.866044,7.72,3.07623,nan,14.56085,165.977456,16.732939,57.630952,15.380659,6.309328,nan,23.589673,12.369575,6.975071,nan,7.100195,6.59156,14.232039,22.401925,nan,19.810998,nan,11.369555,14.435554,7.155371,9.18541,4.283124,16.628632,5.176452,16.771044,8.769344,11.81832,3.674335,19.192841,nan,nan,9.580827,nan,15.172,18.425174,11.156501,10.513754,nan,85.141091,17.41938,10.370859,nan,nan,20.824293,10.521745,8.73603,nan,9.745,7.635074,10.601152,16.216265,13.551633,1.80,10.856081,9.2445,26.6926,5.778315,12.6889,15.721819,nan,nan,20.392452,6.155073,23.038689,nan,7.475,20.98013,11.311247,10.494006,23.830041,nan,6.084595,27.383458,6.710786,13.508948,11.678081,2.629624,nan,nan,9.501009,nan,9.927313,11.149854,2.10,1.33014,11.924859,24.611,12.685873,nan,13.578985,nan,nan,1.04,21.243312,15.140512,7.915706,5.359786,nan,20.09493,4.668765,28.919585,nan,82.130248,8.518884,nan,11.826257,nan,8.870244,nan,33.222385,7.467722,nan,nan,3.151268,nan,11.036983,nan
2005-01-28,20.203786,16.078104,25.089666,14.989747,16.860438,16.997254,32.56656,10.833275,18.893159,11.749947,8.63291,40.755724,23.771529,34.901842,11.69222,25.212984,5.29872,11.767146,15.232325,18.907802,nan,nan,8.878455,7.83,3.085609,nan,14.497107,165.756027,17.224577,57.075284,15.16734,6.364472,nan,24.396027,12.495881,6.991946,nan,7.219862,6.59156,14.12503,22.247259,nan,19.863599,nan,11.421906,14.588291,7.236222,9.309874,4.301507,17.088467,5.276045,17.008631,8.823421,11.868375,3.718962,19.328393,nan,nan,9.530927,nan,15.255,18.568746,11.165721,10.605178,nan,85.282888,17.46416,10.431715,nan,nan,20.97084,10.555169,8.66133,nan,9.814,7.731785,10.425133,16.095763,13.698976,1.80,10.99156,9.2461,27.1863,5.799456,12.6933,15.155804,nan,nan,20.611092,6.241317,22.768703,nan,7.572,20.953346,12.71503,10.614905,23.850518,nan,6.10203,26.770873,6.76254,13.534761,12.179177,2.647635,nan,nan,9.62419,nan,9.927313,11.051337,2.10,1.307971,11.670235,24.744,12.771587,nan,13.541358,nan,nan,1.05,21.45158,15.12766,8.014653,5.351153,nan,19.530745,4.624564,28.393776,nan,85.418316,8.113223,nan,11.867608,nan,8.638923,nan,33.068224,7.467722,nan,nan,3.208095,nan,11.036983,nan
